"OrganizationName","Representatives","ConnectedOrganizations"
"""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","Marzena Fesnak",""
"""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","Mieczysław Burzyk",""
"""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","Wiesława Lizińska",""
"""ZAKŁAD BUDYNKÓW KOMUNALNYCH I""","Marcin Tumasz",""
"""SZOK""","Alicja Zegarska",""
"""POLSKIE WAFLE""","Ralf Stenger","'STENGER WAFFELN POLSKA'"
"""ALUCOM""","Janina Wojtas","'ANALOGIC.PL'"
"""ALUCOM""","Piotr Wojtas","'MAGNUS PROFIT', 'PROMED', 'ANALOGIC.PL', 'GRUPA DOM', 'TAKUMI POLSKA'"
"""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","Renata Łaskawiec",""
"""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","Piotr Kita","'GEO-TERM POLSKA', 'BAJTLE', 'POLTARG GÓRNOŚLĄSKI', 'LAUREN PESO POLSKA'"
"""KOMPLEKSOWE ZAOPATRZENIE BUDOWNICTWA - POŁUDNIE""","Józef Łaskawiec","'NIKA II', 'EKO-TEAM', 'STOWARZYSZENIE MOTOKLUB ATV METEOR'"
"""BIURO RACHUNKOWE ""HST""""","Honorata Tyburczy",""
"""BIURO RACHUNKOWE ""HST""""","Stanisław Tyburczy","'TRANS-PAR'"
"""EWAN - FOL""","Władysław Kwaśniewski",""
"""EWAN - FOL""","Aneta Walczyńska",""
"""EWAN - FOL""","Ewa Kwaśniewska Zagroba",""
"""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","Mateusz Oczkowski",""
"""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","Marcin Oczkowski",""
"""ZAKŁAD RZEŹNICZO-PRZETWÓRCZY SPÓŁKA JAWNA K.S.J.U. OCZKOWSCY""","Kazimierz Oczkowski",""
"""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","Tadeusz Wójcik",""
"""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","Andrzej Wójcik",""
"""GOSPODARSTWO RYBACKIE ""TYŚMIENICA""""","Przemysław Łagowski",""
"""FX MARKETING""","Dariusz Szewczyk","'FX GRUPA', 'FX WORK'"
"""FX MARKETING""","Sławomir Omilian",""
"""NOWO PRODUCTS""","Adam Czaja","'NOWO BIS'"
"""NOWO PRODUCTS""","Stephan Wölk",""
"""RZESZÓWDIS""","Juan Morales",""
"""RZESZÓWDIS""","Denis Louis","'MALBORKDIS', 'MIELDIS', 'PRZEMYŚLDIS'"
"""RZESZÓWDIS""","Pascal Carreas",""
"""RZESZÓWDIS""","Alain Alazard",""
"""RZESZÓWDIS""","Joanna Dudek Louis",""
"""RZESZÓWDIS""","Denis Louis","'MALBORKDIS', 'MIELDIS', 'PRZEMYŚLDIS'"
"""RZESZÓWDIS""","Dominique Haquet",""
"""GRYFIŃSKI KLUB KARATE""","Piotr Serafin",""
"""GRYFIŃSKI KLUB KARATE""","Bogusław Kosatka",""
"""GRYFIŃSKI KLUB KARATE""","Barbara Szulc",""
"""GRYFIŃSKI KLUB KARATE""","Mariusz Prusik",""
"""GRYFIŃSKI KLUB KARATE""","Roman Porwit",""
"""GRYFIŃSKI KLUB KARATE""","Marek Hipsz","'ZACHODNIOPOMORSKI OKRĘGOWY ZWIĄZEK KARATE WKF I TRADYCYJNEGO'"
