"OrganizationName","Representatives","ConnectedOrganizations"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Katarzyna Flasińska","'OGÓLNOPOLSKI KLUB BIZNESU', 'LUMINIGHT'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Przemysław Deka","'ZDROWE PIĘKNO I UŚMIECH', 'DR STUDIO GAMES', 'PERFORMANCE MEDICAL', 'AVANTO', 'SM GROUP CONSULTING', 'EM GROUP CONSULTING', 'STOWARZYSZENIE ""TWOJE ŻYCIE W TWOICH RĘKACH""', 'OAKTREE SOLUTIONS'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Waldemar Chwist","'POLWAT STOKŁOSA I CHWIST', 'GÓRNICZA SPÓŁDZIELNIA MIESZKANIOWA ""LUIZA""'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Krzysztof Sawicki","'SUKCESIJA', 'BYTOMSKA IZBA PRZEMYSŁOWO-HANDLOWA W BYTOMIU', 'INSTYTUT OCHRONY DÓBR KULTURY I SZTUKI ""ODBUDOWA DZIEDZICTWA""'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Karol Deska",""
"""ŚLĄSKA IZBA PRACODAWCÓW""","Henryk Żabiałowicz","'PRZEDSIĘBIORSTWO PROJEKTOWO - USŁUGOWE FACTOR', 'PRZEDSIĘBIORSTWO PROJEKTOWO-HANDLOWO-USŁUGOWE FACTOR', 'PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO USŁUGOWE FACTOR D.BODUCH'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Witold Szczeciński","'SPÓŁDZIELNIA MIESZKANIOWA ""STARE GLIWICE""'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Artur Pollak","'POLSKIE FORUM AKADEMICKO-GOSPODARCZE', 'APA INTERNATIONAL', 'PROFESSIONAL INDUSTRY SOLUTIONS', 'POLSKO-NIEMIECKA IZBA PRZEMYSŁOWO-HANDLOWA', 'TECHINTEGRA', 'TWENS', 'ENENEO', 'FUTURA GRID', 'FUTURA GRID', 'APA INNOVATIVE', 'APA'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Stanisław Kolanus","'SPÓŁDZIELNIA MIESZKANIOWA ""ŚRÓDMIEŚCIE""'"
"""ŚLĄSKA IZBA PRACODAWCÓW""","Tomasz Golis","'REGIONALNA IZBA PRZEMYSŁOWO-HANDLOWA W GLIWICACH', 'KONFEDERACJA BUDOWNICTWA I NIERUCHOMOŚCI', 'CECH RZEMIOSŁ I PRZEDSIĘBIORCZOŚCI ZIEMI GLIWICKIEJ'"
