"OrganizationName","Representatives","ConnectedOrganizations"
"""HYDROGEOWIERT""","Bartłomiej Młynarczyk","'RS SYSTEM GROUP'"
"""HYDROGEOWIERT""","Jan Młynarczyk",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Aleksander Kaczmarek",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Krzysztof Plecety",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Tomasz Reitmajer",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Marian Czepiel",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Grzegorz Latusek",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Zbigniew Bętkowski",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Mariusz Uhornicki",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Radosław Zysnarski","'KLUB SPORTOWY ""JAWORZANKA"" 1946 JAWOR', 'GG', 'GB', 'ZWIĄZEK ZAWODOWY CENTRUM NARODOWE MŁODYCH ROLNIKÓW', 'REGIONALNY ZWIĄZEK ROLNIKÓW,KÓŁEK I ORGANIZACJI ROLNICZYCH'"
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Zdzisław Dąbrowski",""
"""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","Sławomir Żmudzki","'ZWIĄZEK MŁODZIEŻY WIEJSKIEJ WOJEWÓDZTWA DOLNOŚLĄSKIEGO'"
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Krzysztof Sikora",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Łukasz Stawarz",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Łukasz Fudalej",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Witold Misiaszek",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Paweł Kabat",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Krzysztof Durdek",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Janusz Katra",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Bogdan Rodak",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Bogusław Gieroń",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Augustyn Pierzchała","'GMINNY ZARZĄD OCHOTNICZYCH STRAŻY POŻARNYCH W WIERZCHOSŁAWICACH'"
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Leszek Misiaszek",""
"""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","Piotr Pierzchała",""
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Iwona Lewandowska",""
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Konrad Masiarek","'FUNDACJA ROZWOJU OBSZARU MIASTA ALEKSANDROWA ŁÓDZKIEGO'"
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Elżbieta Przedbora",""
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Waldemar Wojciechowski","'OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA W ŁOWICZU', 'OCHOTNICZA STRAŻ POŻARNA W WICIU'"
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Krzysztof Szymczyk","'FORUM SAMORZĄDOWE SPOŁECZNOŚCI LOKALNYCH'"
"""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","Alicja Antczak","'GEOTERMIA UNIEJÓW IMIENIA STANISŁAWA OLASA'"
