"OrganizationName","Representatives","ConnectedOrganizations"
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Elżbieta O'dwyer",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Elżbieta Rużyła",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Krzysztof Lewczuk",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Beata Gumienny","'TOWARZYSTWO NASZ DOM'"
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Małgorzata Dańczak Maksym",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Maria Kurasz","'STOWARZYSZENIE ""JESTEŚMY RAZEM W RUSZELCZYCACH""'"
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Ewa Majewska","'POLSKIE TOWARZYSTWO WALKI Z KALECTWEM ODDZIAŁ W PRZEMYŚLU'"
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Jadwiga Budzińska","'POLSKIE TOWARZYSTWO WALKI Z KALECTWEM ODDZIAŁ W PRZEMYŚLU'"
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Agata Dziugiewicz",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Maria Pstrąg",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Jadwiga Kulpińska",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Wiesław Solarz",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Irena Puchelak",""
"""POLSKIE STOWARZYSZENIE NA RZECZ OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ KOŁO W PRZEMYŚLU""","Zofia Roczniak","'SPÓŁDZIELNIA MIESZKANIOWA ""PŁYTA""'"
"""B.E.M.""","Bożena Mazur",""
"""B.E.M.""","Elżbieta Rek",""
"""B.E.M.""","Marta Muszyńska","'TOC CONSULTING POLSKA'"
"""SPIE OPCO""","Artur Tomczyk","'SPIE BUILDING SOLUTIONS', 'ZARZĄD DRÓG I MOSTÓW'"
"""SPIE OPCO""","Łukasz Nowiński","'SPIE POLSKA', 'DOOR GROUP CD', 'NOWIŃSKI CONSULTING', 'ŁUKASZ NOWIŃSKI CONSULTING', 'GDT'"
"""SPIE OPCO""","Robert Nobis","'ADMINISTRACJA & PROPERTY MANAGEMENT'"
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Zygmunt Karakuszka",""
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Jacek Zawiśliński",""
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Anna Obrochta",""
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Jerzy Barcik","'STOWARZYSZENIE MIŁOŚNIKÓW 600- LETNIEGO BIERUNIA'"
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Henryk Kula","'PZPN INVEST', 'POLSKI ZWIĄZEK PIŁKI NOŻNEJ', 'ŚLĄSKI ZWIĄZEK PIŁKI NOŻNEJ'"
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Bogdan Oślislok",""
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Kazimierz Nowak",""
"""KOMITET OBCHODÓW 25-LECIA PODOKRĘGU TYCHY""","Piotr Swoboda","'GÓRNICZY KLUB SPORTOWY KRUPIŃSKI', 'ŚLĄSKI ZWIĄZEK PIŁKI NOŻNEJ', 'ZWIĄZEK ZAWODOWY GÓRNIKÓW JASTRZĘBSKIEJ SPÓŁKI WĘGLOWEJ S.A.', 'FEDERACJA ZWIĄZKÓW ZAWODOWYCH GÓRNIKÓW JASTRZĘBSKIEJ SPÓŁKI WĘGLOWEJ S.A.', 'GÓRNICZY KLUB SPORTOWY ""KRUPIŃSKI-SUSZEC""'"
"""KÓŁKO ROLNICZE W ROZDRAŻEWKU""","Tadeusz Waliszewski","'WIELKOPOLSKI ZWIĄZEK HODOWCÓW I PRODUCENTÓW BYDŁA', 'REJONOWE KOŁO HODOWCÓW I PRODUCENTÓW BYDŁA W KROTOSZYNIE'"
"""KÓŁKO ROLNICZE W ROZDRAŻEWKU""","Henryk Owczaryszek",""
"""KÓŁKO ROLNICZE W ROZDRAŻEWKU""","Stanisław Kałążny",""
"""KÓŁKO ROLNICZE W ROZDRAŻEWKU""","Jan Ceglarz",""
