"OrganizationName","Representatives","ConnectedOrganizations"
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Wojciech Matuszny","'VENDING SERVICE HORZYK, MATUSZNY'"
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Stanisław Galej",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Marek Kohut",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Sławomir Suszka",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Eliasz Suszka",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Andrzej Łacek","'AMG5', 'EDEN 5'"
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Łukasz Kajzar",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Mateusz Krężelok",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Mirosław Łacek",""
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Paweł Matuszny","'ŚWIERKOWE CHATKI PAWEŁ MATUSZNY'"
"""KLUB PIŁKARSKI ""TRÓJWIEŚ"" ISTEBNA""","Jacek Kohut",""
"""OLIMPIA""","Aleksandra Wójcik",""
"""OLIMPIA""","Amadeusz Raczkowski",""
"""OLIMPIA""","Anna Raczkowska",""
"""OLIMPIA""","Ryszard Raczkowski","'NAMYSŁOWSKIE TOWARZYSTWO GOSPODARCZE'"
"""BIOMIN BIOTECH""","Raymond Smeets",""
"""BIOMIN BIOTECH""","Krzysztof Haręza",""
"""BIOMIN BIOTECH""","Agnieszka Lis",""
"""APTEKA ASKLEPIOS CIOTA""","Jacek Modrzewski","'ŁABĘDZIA', 'APTEKA RODZINNA', 'MODRZEWSCY', 'FORTUNA FAMILIA CIOTA', 'FARM-POL MODRZEWSKI'"
"""APTEKA ASKLEPIOS CIOTA""","Emilia Ciota","'APTEKA POLSKICH FARMACEUTÓW BRACISIEWICZ', 'UNIVERSUM FARMA CIOTA, BOCHENEK-ROIK', 'FARM-MEDICA'"
"""APTEKA ASKLEPIOS CIOTA""","Tomasz Ciota","'FARM-MEDICA', 'FORTUNA FAMILIA CIOTA', 'FARM-POL MODRZEWSKI'"
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Rafał Kasiak",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Dariusz Kasiak",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Grzegorz Lęcznar",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Robert Duszka",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Zbigniew Gwizdała",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Zbigniew Kasiak",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Tomasz Gaweł",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Tadeusz Rup",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Franciszek Drąg",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Józef Kogutek",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Marek Pieczonka",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Józef Mendrala","'OCHOTNICZA STRAŻ POŻARNA W ŁĄCE'"
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Aleksander Ryś",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Józef Lech",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Andrzej Siwy",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Zenon Lech",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Marek Sitarz",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Jerzy Lech","'OCHOTNICZA STRAŻ POŻARNA W ŁĄCE'"
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Władysław Śliz",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Zdzisława Siwy",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Paweł Siwy",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Mariola Kańczugowska",""
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Edward Ryś","'STOWARZYSZENIE LOKALNA GRUPA DZIAŁANIA ""EUROGALICJA""'"
"""LUDOWY KLUB SPORTOWY ""ŁĄKA""""","Tadeusz Śliz",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Celina Bukała Drop",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Grzegorz Musztafaga",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Rafał Smyła","'KLUB TENISOWY ""MASTERS"" SZCZECIN'"
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Tomasz Kaźmierczak",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Arkadiusz Skrzypiński","'FUNDACJA 120/80'"
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Ewa Wojciechowicz",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Krzysztof Kowalczyk",""
"""KLUB SPORTOWY INWALIDÓW START SZCZECIN""","Renata Chilewska","'ZACHODNIOPOMORSKA RADA OLIMPIJSKA'"
"""KLUB ABSTYNENTA ""ESKULAP""""","Zbigniew Hubala","'STOWARZYSZENIE TRZEŹWOŚCIOWE ""KROKUS""'"
"""KLUB ABSTYNENTA ""ESKULAP""""","Ryszard Szymański",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Wiesław Kmiecik",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Józef Ziemniak",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Edward Kolek",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Andrzej Leś",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Bogdan Chudzik",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Stanisław Dubiel",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Mieczysław Skawina",""
"""KLUB ABSTYNENTA ""ESKULAP""""","Jan Nowak","'STOWARZYSZENIE TRZEŹWOŚCIOWE ""KROKUS""'"
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Joanna Rolbiecka",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Dorota Sobkiewicz",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Agnieszka Grzela Opalińska",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Irena Hill",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Anna Czerny Budda",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Irena Steinke",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Aleksandra Beśka",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Magdalena Okapiec Kortas","'KOCIEWSKIE STOWARZYSZENIE KULTURALNE ""FYRTEL""'"
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Ewa Ślewa",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Wojciech Rinc",""
"""STOWARZYSZENIE NA RZECZ SZKOLNICTWA SPECJALNEGO W TCZEWIE""","Beata Żądłowska",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Tomasz Jarczak",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Józef Głowik",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Rafał Mąka",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Przemysław Dorsz",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Józef Parzonka",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Klaudia Pawlik-Kuświk",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Damian Zimoch",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Henryk Dorsz",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Zygmunt Frąszczak",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Krzysztof Ostrowski",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Robert Adamski",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Jan Dastych",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Zbigniew Grześniak",""
"""OCHOTNICZA STRAŻ POŻARNA W TRZCINICY""","Leszek Wabnic",""
"""HUMAN RESOURCES POLAND""","Lidia Król Krzysztofik","'JOBS.PL'"
"""MUELLER. AGRI. PO""","Martin Hetzke",""
"""MUELLER. AGRI. PO""","Reinhold Krüger",""
"""MUELLER. AGRI. PO""","Kerstin Siefkes",""
"""MUELLER. AGRI. PO""","Sabine Krüger",""
"""MUELLER. AGRI. PO""","Reinhold Krüger",""
"""MUELLER. AGRI. PO""","Martin Hetzke",""
"""MUELLER. AGRI. PO""","Roelf Müller Hetzke",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Bronisław Pełka",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Marek Czarnecki",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Ryszard Iwan",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Robert Konofalski",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Rafał Janus",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Marek Nanuś",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Józef Żylski",""
"""STOWARZYSZENIE PRODUCENTÓW WARZYW I ZIEMNIAKÓW W TEMPOCZOWIE KOLONII""","Adam Czarny",""
"""KRAKOWSKA FUNDACJA EDUKACJI ARTYSTYCZNEJ SCHERZO""","Ilona Preiss Borowicz",""
"""ARSAN""","Maria Białożyt","'KANTOR WYMIANY WALUT ""GENIUSS-BIAŁOŻYT""'"
"""ARSAN""","Jolanta Górniak",""
"""ZEW-TRANSPORT""","Janina Wójtowicz",""
"""ZEW-TRANSPORT""","Zbigniew Wójtowicz","'Z.W. TRANSPORT', 'KNAP TRANSPORT'"
"""ZEW-TRANSPORT""","Ewa Wójtowicz","'ACTROS'"
"""OCHOTNICZA STRAŻ POŻARNA PRZY PKS W KOŃSKICH S.A.""","Jarosław Głowacki",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY PKS W KOŃSKICH S.A.""","Sylwester Wrzeszcz",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY PKS W KOŃSKICH S.A.""","Bernard Jańczyk",""
"""OCHOTNICZA STRAŻ POŻARNA PRZY PKS W KOŃSKICH S.A.""","Sławomir Zamachowski",""
