"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Tomasz Dziedziński","2814470",""
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Magdalena Całus","2814471","'ELIDI': '729929', 'BIURO FINANSOWO PRAWNE INKASO': '88824'"
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Piotr Hanaj","390205","'AGRICOLARUM': '427628', 'ZAKŁAD NARZĘDZIOWY ""AS-TOOL""': '198491', 'PPHU ""LACTIS"" ANDREASIK, LIS': '53575', 'KRIOSYSTEM - MEDICA': '197549', '""CBM"" J. COŁOKIDZI': '125945', 'PHU LEKS': '232037', 'MAZURIA SPORT': '433929', 'STOWARZYSZENIE STRAŻY OCHRONY PRZYRODY W POLSCE': '563107', 'OLSZYŃSKIE STOWARZYSZENIE NA RZECZ BEZDOMNYCH ZWIERZĄT': '468610', 'STOWARZYSZENIE ROMÓW WE WROCŁAWIU ROMANI BACHT': '201793', 'BRS EVENT': '666987', 'SZKOŁA NARCIARSKA I SUDECKI KLUB SPORTOWY AESCULAP': '51908', 'WCD': '904595', 'SIMBUD': '513567', 'HURTOWNIA WARZYW I OWOCÓW SPÓŁKA JAWNA W LIKWIDACJI TADEUSZ SEREK & MARZENA SEREK': '61962', 'MAGNICA': '273819', 'KANCELARIA INSOLWENCYJNA HPKM': '816206', 'SPÓŁDZIELNIA PRACY USŁUG MEBLARSKICH': '353634', 'RITE NRG': '710267', 'ADM COSME COMPANY DWORAK-MIKOŁAJCZAK, BUKOWSKA': '569594', 'SIBERPOL': '290491', 'HGKO INVEST': '323557', 'TESS POLAND': '194416', 'FUNDACJA ŚRI CZAJTANJA SANGA W POLSCE': '495970', 'NCT INWESTYCJE ŚWIĘTOKRZYSKIE I': '381417', 'COMFOROAD': '653080'"
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Adam Michalski","1315873","'WROCŁAWSKI KLUB KARATE GOJU - RYU': '51942'"
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Dariusz Zieliński","448000",""
"25000","""GANT DEVELOPMENT""","spółka akcyjna","Tomasz Dudek","370042","'ENERGY SYSTEM': '1032335', 'GMT INVEST': '1082374', 'SMART PLUS': '1072016', 'SAUNA PLUS': '1064094', 'TIME4TAPE PLUS': '1059323', 'FLOOR-PLUS': '997990', 'DOMY PLUS': '936629', 'OZE PLUS': '898011', '4DACHY': '837941', '4E': '553930'"
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Lesław Orlikiewicz","1363589",""
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Marian Daszyk","1363588","'STOWARZYSZENIE SPOŁECZNO-KULTURALNE SOŁTYSÓW GMINY SANOK': '32469'"
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Mieczysław Kędzior","1363592",""
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Władysław Kluska","1363594",""
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Edward Daszyk","1018451",""
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Zbigniew Wójtowicz","1018450","'STOWARZYSZENIE NA RZECZ ROZWOJU WSI STRACHOCINA': '264153'"
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Jacek Wojtowicz","1018453","'BIESZCZADZKI KLUB POJAZDÓW ZABYTKOWYCH ""WETERAN""': '174541'"
"25001","""KÓŁKO ROLNICZE W STRACHOCINIE""","kółko rolnicze","Ryszard Wojtoń","1363593",""
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Ryszard Dratwa","1387221","'ZWIĄZEK ZAWODOWY PRACOWNIKÓW URZĘDU MARSZAŁKOWSKIEGO W OPOLU': '13517'"
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Marian Cisek","1363601",""
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Brygida Pieron","433093",""
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Jarosław Wach","433095",""
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Tadeusz Sławiński","1363600",""
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Elżbieta Kaliszan","1224128","'TOWARZYSTWO PRZYJACIÓŁ OPOLA': '128869', 'STOWARZYSZENIE PRZYJACIÓŁ HARCERSTWA W OPOLU': '147601'"
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Marian Niemiec","1363596","'FUNDACJA DIAKONII IM. MATKI EWY': '779632', 'CENTRUM MISJI I EWANGELIZACJI KOŚCIOŁA EWANGELICKO-AUGSBURSKIEGO W RZECZYPOSPOLITEJ POLSKIEJ': '225011'"
"25002","""STOWARZYSZENIE HOSPICJUM OPOLSKIE""","stowarzyszenie","Jan Dudzik","1363595",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Mateusz Zarzycki","2975289",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Marcin Seredyński","2482100",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Paweł Ostrowski","92655",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Jakub Majewski","92660",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Rafał Pawelec","92656",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Filip Majewski","92657",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Daniel Aleksandrowicz","92659",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Adam Korytko","92653",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Marek Chudek","1363603",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Piotr Seredyński","1363605",""
"25003","""OCHOTNICZA STRAŻ POŻARNA W PRZEWŁOCE""","stowarzyszenie","Krzysztof Aleksandrowicz","1363602",""
"25004","""EKO 1""","spółka z ograniczoną odpowiedzialnością","Mirosław Żywicki","1363607","'ACTISTRAW': '820807', 'ENERGIA CZERWONKA': '809482', 'FUNDACJA CREATUS': '723549', 'KOOPRESS': '654180', 'STOWARZYSZENIE NEUROCHIRURGIA OLSZTYŃSKA ""KOPERNIK""': '323685', 'EKO 2': '144037'"
"25004","""EKO 1""","spółka z ograniczoną odpowiedzialnością","Waldemar Zdrodowski","1363606","'MASTERPRESS': '297195', 'EKO 2': '144037'"
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Ewa Harkawy","1623618",""
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Andrea Pańczyk","2908819",""
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Irena Janów","2594446",""
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Sylwia Czaja","327858",""
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Zygmunt Grądowy","563440","'BANK SPÓŁDZIELCZY W ŁUBNIANACH': '31807'"
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Irmgarda Leusz","564002",""
"25005","""GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA""""","spółdzielnia","Gabriela Jonientz","564001",""
"25009","""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","stowarzyszenie","Tadeusz Kutermak","1363608",""
"25009","""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","stowarzyszenie","Michał Wieciech","2878314",""
"25009","""OCHOTNICZA STRAŻ POŻARNA PRZY ""BRODVIN"" PRACOWNICZA""","stowarzyszenie","Janusz Skrzyński","1363609",""
"25011","""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","stowarzyszenie","Antoni Liśkiewicz","1018454",""
"25011","""KOPRZYWNICKIE TOWARZYSTWO KULTURALNE""","stowarzyszenie","Stanisław Pawlik","1018455",""
