"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"20000","""HYDROGEOWIERT""","spółka z ograniczoną odpowiedzialnością","Bartłomiej Młynarczyk","1376891","'RS SYSTEM GROUP': '772334'"
"20000","""HYDROGEOWIERT""","spółka z ograniczoną odpowiedzialnością","Jan Młynarczyk","1376890",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Aleksander Kaczmarek","1021887",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Krzysztof Plecety","305161",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Tomasz Reitmajer","296180",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Marian Czepiel","305159",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Grzegorz Latusek","305162",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Zbigniew Bętkowski","305160",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Mariusz Uhornicki","1376896",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Radosław Zysnarski","1376893","'KLUB SPORTOWY ""JAWORZANKA"" 1946 JAWOR': '172121', 'GG': '816864', 'GB': '806386', 'ZWIĄZEK ZAWODOWY CENTRUM NARODOWE MŁODYCH ROLNIKÓW': '207015', 'REGIONALNY ZWIĄZEK ROLNIKÓW,KÓŁEK I ORGANIZACJI ROLNICZYCH': '96410'"
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Sławomir Żmudzki","1376894","'ZWIĄZEK MŁODZIEŻY WIEJSKIEJ WOJEWÓDZTWA DOLNOŚLĄSKIEGO': '359261'"
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Zdzisław Dąbrowski","1376897",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Krzysztof Sikora","2891131",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Łukasz Stawarz","2891133",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Łukasz Fudalej","1611277",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Witold Misiaszek","2891132",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Paweł Kabat","232018",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Krzysztof Durdek","232014",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Janusz Katra","232019",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Bogdan Rodak","1376900",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Bogusław Gieroń","694517",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Augustyn Pierzchała","1376898","'GMINNY ZARZĄD OCHOTNICZYCH STRAŻY POŻARNYCH W WIERZCHOSŁAWICACH': '28576'"
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Leszek Misiaszek","694515",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Piotr Pierzchała","694514",""
