"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"20000","""HYDROGEOWIERT""","spółka z ograniczoną odpowiedzialnością","Bartłomiej Młynarczyk","1376891","'RS SYSTEM GROUP': '772334'"
"20000","""HYDROGEOWIERT""","spółka z ograniczoną odpowiedzialnością","Jan Młynarczyk","1376890",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Krzysztof Plecety","305161",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Aleksander Kaczmarek","1021887",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Tomasz Reitmajer","296180",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Marian Czepiel","305159",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Grzegorz Latusek","305162",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Zbigniew Bętkowski","305160",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Mariusz Uhornicki","1376896",""
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Radosław Zysnarski","1376893","'KLUB SPORTOWY ""JAWORZANKA"" 1946 JAWOR': '172121', 'GG': '816864', 'GB': '806386', 'ZWIĄZEK ZAWODOWY CENTRUM NARODOWE MŁODYCH ROLNIKÓW': '207015', 'REGIONALNY ZWIĄZEK ROLNIKÓW,KÓŁEK I ORGANIZACJI ROLNICZYCH': '96410'"
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Sławomir Żmudzki","1376894","'ZWIĄZEK MŁODZIEŻY WIEJSKIEJ WOJEWÓDZTWA DOLNOŚLĄSKIEGO': '359261'"
"20002","""OCHOTNICZA STRAŻ POŻARNA W PRZYBYŁOWICACH""","stowarzyszenie","Zdzisław Dąbrowski","1376897",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Krzysztof Sikora","2891131",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Łukasz Stawarz","2891133",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Łukasz Fudalej","1611277",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Witold Misiaszek","2891132",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Paweł Kabat","232018",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Krzysztof Durdek","232014",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Janusz Katra","232019",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Bogdan Rodak","1376900",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Bogusław Gieroń","694517",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Augustyn Pierzchała","1376898","'GMINNY ZARZĄD OCHOTNICZYCH STRAŻY POŻARNYCH W WIERZCHOSŁAWICACH': '28576'"
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Leszek Misiaszek","694515",""
"20003","""OCHOTNICZA STRAŻ POŻARNA W BOBROWNIKACH MAŁYCH.""","stowarzyszenie","Piotr Pierzchała","694514",""
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Iwona Lewandowska","326578",""
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Waldemar Wojciechowski","1216531","'OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA W ŁOWICZU': '93148', 'OCHOTNICZA STRAŻ POŻARNA W WICIU': '136190'"
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Konrad Masiarek","2840719","'FUNDACJA ROZWOJU OBSZARU MIASTA ALEKSANDROWA ŁÓDZKIEGO': '987601'"
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Elżbieta Przedbora","2840720",""
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Krzysztof Szymczyk","902682","'FORUM SAMORZĄDOWE SPOŁECZNOŚCI LOKALNYCH': '215479'"
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Alicja Antczak","2740778","'GEOTERMIA UNIEJÓW IMIENIA STANISŁAWA OLASA': '54551'"
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Zbigniew Linkowski","2513086",""
"20006","""WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. MARII SKŁODOWSKIEJ-CURIE W ZGIERZU""","samodzielny publiczny zakład opieki zdrowotnej","Rafał Antczak","158551",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Mariusz Klecha","158537",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Kamil Bocoń","158534",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Jan Bocoń","1021889",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Sylwester Dul","158532",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Szymon Szewczyk","158535",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Krzysztof Turski","158536",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Tomasz Mazur","158538",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Grzegorz Szewczyk","158539",""
"20008","""OCHOTNICZA STRAŻ POŻARNA W JURECZKOWEJ""","stowarzyszenie","Piotr Mazur","1376901",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Michał Urbankiewicz","2975901",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Julia Wierzyk","2975907",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Mateusz Krawczyk","2975904",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Katarzyna Czerniak","2975902",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Krystian Wasylów","2975911",""
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Marlena Jeziorska","613351","'STOWARZYSZENIE CENTRUM EDUKACJI, DIALOGU I DOBRYCH PRAKTYK': '352741'"
"20009","""STOWARZYSZENIE ""TRZEŹWOŚĆ"" W OSTROWIE WIELKOPOLSKIM""","stowarzyszenie","Stefan Prukała","2961961","'STOWARZYSZENIE ""DOLINA BARYCZY""': '272765'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Jacek Pawelec","3046441",""
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Anna Bieniek","2294079","'AEROKLUB GLIWICKI': '81061', 'STOWARZYSZENIE SYMPATYKÓW LATAJĄCEGO POTWORA SPAGHETTI': '868762'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Krzysztof Zieliński","3046439","'ZWIĄZEK POLSKICH SPADOCHRONIARZY': '91847', 'FUNDACJA INVICTUS VETERANUS': '539188'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Krzysztof Zocłoński","3046440",""
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Przemysław Nocoń","1489681","'GRUPA PERUN': '716987'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Jan Isielenis","1391982","'STOWARZYSZENIE ""NOWA POLSKA"" Z SIEDZIBĄ W GLIWICACH': '11859'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Sylwester Kmiecik","1376907",""
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Danuta Polewska","1021894","'AEROKLUB GLIWICKI': '81061'"
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Kazimierz Stępniewski","1376906",""
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Jan Filus","694516",""
"20014","""ZWIĄZEK POLSKICH SPADOCHRONIARZY ODDZIAŁ W KATOWICACH""","stowarzyszenie","Tadeusz Cichoń","694519",""
"20016","""""AGRA"" - STANISŁAW PIETRUSZYŃSKI""","spółka jawna","Stanisław Pietruszyński","1324159","'BIO ALIANS STRADUNY': '337260', 'BIOGAZOWNIA DROZDOWO': '337172', 'BORKOWINA': '318213', 'AGROCENTER EUROPE CORPORATION': '90174', 'AGROCENTRUM': '47639', 'PODLASKIE ZAKŁADY ZBOŻOWE': '38920'"
"20016","""""AGRA"" - STANISŁAW PIETRUSZYŃSKI""","spółka jawna","Krystyna Pietruszyńska","1107079","'PODLASKIE ZAKŁADY ZBOŻOWE': '38920', 'GRUPA AGROCENTRUM': '360768', 'BORKOWINA': '318213'"
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Maciej Kołodziejczyk","3095433",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Mateusz Mirek","3095432",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Piotr Deryniowski","3095434",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Krzysztof Głogowski","2975910",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Agnieszka Cieślak","1862356",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Sławomir Kulka","2513070",""
"20017","""LUDOWY KLUB SPORTOWY ORLĘTA RUDAWA""","stowarzyszenie","Artur Tarnowski","285196",""
