"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Katarzyna Flasińska","2583524","'OGÓLNOPOLSKI KLUB BIZNESU': '1032527', 'LUMINIGHT': '798412'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Przemysław Deka","2197416","'PROMESA': '1097024', 'ZDROWE PIĘKNO I UŚMIECH': '1002637', 'DR STUDIO GAMES': '1015410', 'PERFORMANCE MEDICAL': '924609', 'AVANTO': '977238', 'EM GROUP CONSULTING': '971072', 'SIMPLY HOLDING': '971272', 'STOWARZYSZENIE ""TWOJE ŻYCIE W TWOICH RĘKACH""': '412819', 'OAKTREE SOLUTIONS': '916167'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Waldemar Chwist","646824","'POLWAT STOKŁOSA I CHWIST': '421441', 'GÓRNICZA SPÓŁDZIELNIA MIESZKANIOWA ""LUIZA""': '43688'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Krzysztof Sawicki","190239","'SUKCESIJA': '949486', 'BYTOMSKA IZBA PRZEMYSŁOWO-HANDLOWA W BYTOMIU': '74004', 'INSTYTUT OCHRONY DÓBR KULTURY I SZTUKI ""ODBUDOWA DZIEDZICTWA""': '607134'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Karol Deska","1093624",""
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Henryk Żabiałowicz","1116313","'PRZEDSIĘBIORSTWO PROJEKTOWO - USŁUGOWE FACTOR': '960354', 'PRZEDSIĘBIORSTWO PROJEKTOWO-HANDLOWO-USŁUGOWE FACTOR': '418565', 'PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO USŁUGOWE FACTOR D.BODUCH': '3815'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Witold Szczeciński","1533036","'SPÓŁDZIELNIA MIESZKANIOWA ""STARE GLIWICE""': '134788'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Artur Pollak","915444","'POLSKIE FORUM AKADEMICKO-GOSPODARCZE': '115475', 'APA INTERNATIONAL': '816217', 'PROFESSIONAL INDUSTRY SOLUTIONS': '815987', 'POLSKO-NIEMIECKA IZBA PRZEMYSŁOWO-HANDLOWA': '93438', 'TECHINTEGRA': '753016', 'TWENS': '455185', 'ENENEO': '732382', 'FUTURA GRID': '705507', 'APA INNOVATIVE': '538237', 'APA': '274779'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Stanisław Kolanus","614810","'SPÓŁDZIELNIA MIESZKANIOWA ""ŚRÓDMIEŚCIE""': '50490'"
"5005","""ŚLĄSKA IZBA PRACODAWCÓW""","związek pracodawców","Tomasz Golis","1398649","'EDUKA': '1092154', 'REGIONALNA IZBA PRZEMYSŁOWO-HANDLOWA W GLIWICACH': '47024', 'KONFEDERACJA BUDOWNICTWA I NIERUCHOMOŚCI': '124107', 'CECH RZEMIOSŁ I PRZEDSIĘBIORCZOŚCI ZIEMI GLIWICKIEJ': '299434'"
