"KRS","OrganizationName","LegalForm","Representatives","RepresentativesID","ConnectedOrganizations"
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Marcin Kułakowski","988493","'PRINCEPS WROCŁAW KLUB KARATE KYOKUSHIN': '577538'"
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Sylwester Kowalczyk","923760","'MIEJSKI KLUB SPORTOWY ""ŚLĘŻA"" SOBÓTKA': '43065', 'ŚLĘŻA SOBÓTKA BIKE ACADEMY': '332160', 'PRINCEPS WROCŁAW KLUB KARATE KYOKUSHIN': '577538'"
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Michał Jakubowski","163010",""
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Leszek Szuber","1280958","'PRINCEPS WROCŁAW KLUB KARATE KYOKUSHIN': '577538'"
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Artur Chądzel","1280959",""
"75001","""SIECHNICKI KLUB KYOKUSHIN KARATE""","stowarzyszenie kultury fizycznej","Ryszard Szuber","1297464","'PRINCEPS WROCŁAW KLUB KARATE KYOKUSHIN': '577538'"
"75003","""PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""SIS"" EWA SZYMAŃSKA, KRZYSZTOF SZYMAŃSKI""","spółka jawna","Krzysztof Szymański","1097864",""
"75003","""PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""SIS"" EWA SZYMAŃSKA, KRZYSZTOF SZYMAŃSKI""","spółka jawna","Ewa Szymańska","1097865",""
"75004","""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW POLSKIEGO ZWIĄZKU GŁUCHYCH ZAKŁADU SZKOLENIOWO-PRODUKCYJNEGO W OSTROWCU ŚWIĘTOKRZYSKIM""","związek zawodowy","Cezary Broś","1280963","'STOWARZYSZENIE ""MORSY I FOCZKI OSTROWIEC ŚWIĘTOKRZYSKI""': '969518'"
"75004","""NIEZALEŻNY SAMORZĄDNY ZWIĄZEK ZAWODOWY PRACOWNIKÓW POLSKIEGO ZWIĄZKU GŁUCHYCH ZAKŁADU SZKOLENIOWO-PRODUKCYJNEGO W OSTROWCU ŚWIĘTOKRZYSKIM""","związek zawodowy","Dorota Marchewka","981233",""
